,受理番号,相談種別ID,【相談内容分類：ガイドブックmission1に準拠して】,,件名,相談内容,相談備考,対応状況,処置備考,【FAQ用】検索キーワード,案件項目【Mission1】,提示する対策項目【Mission2～4】,【FAQ用】標準回答（案）,【FAQ用】対策のための参考資料・サイト（ここからセキュリティ等を参照）
,160,1,,,悪質なユーザーから被害を受けた,"弊社は海外向けにＰＣゲームをダウンロード販売しております。

２年くらい前にブラジルに住んでいると思われる、不正に入手したクレジットカード番号を大量に所有している悪質な個人に被害を受けました。ダウンロード販売している商品にダウンロードキーを付けていたのですが、こちら購入して他のサイトで転売していました。

前回は巧みにＩＰアドレス、メールアドレス、カード番号やソーシャルアカウントを変えていて手掛かりがつかめないので、こちらのサービスを変更して被害を食い止めましたがカードのチャージバック等により数十万円の被害を受けました。

今回そのユーザーからゲームキーを送らないとまた悪さをするぞという脅迫を受け、実際に不正に購入されたと思われる履歴が残っております。",,"以下のようにメール回答

日本アニメコンテンツ株式会社
ホッタコウジ様

中小企業サイバーセキュリティ対策相談窓口の鶴見と申します。
ご相談いただきました件についてご回答いたします。

「不正に入手したクレジットカード番号を大量に所有している悪質な個人から被害を受けた」
とのことですが、これは
　・相手方が不正なクレジット番号を使用して御社のダウンロードキーを購入
　・相手方がダウンロードキーを転売
　・クレジットカードの正規利用権者の求めにより、カードのチャージバックを実施
ということでよろしいでしょうか。
以上のようであれば、詐欺罪等に該当する可能性があります。

また、
「そのユーザーからゲームキーを送らないとまた悪さをするぞという脅迫」があったとのことであれば、
強要罪等に該当する可能性があります。

いずれにせよ、警察に被害相談をされるのがよいかと考えられます。

警察への相談方法ですが、
　・警視庁サイバー犯罪対策課　相談専用ダイヤル（０３－５８０５－１７３１）に電話
　・管轄の警察署（御社の所在地であれば浅草警察署）に直接赴く
という二つの方法があります。

相談ダイヤルに掛けると、被害の届出のため浅草警察署に行くよう促されることになりますが、
専門家が話を聞いてくれますので、内容を整理の上、警察署に引き継いでくれると思われます。
いきなり警察署に行くよりは、署での対応が早いと思います。
ただ、二度手間にはなりますので、時間のご都合に合わせてご検討ください。

以上ご確認の程、宜しくお願い致します。
ご不明の点があれば、遠慮なくご相談ください。",,,,,,
,161,1,,,グーグルマップのホームページ上に、いわれのない誹謗中傷を掲載されるなどの営業妨害を受けている。,"１　私は、塾の代表代理をしている。
２　今から１年前、塾の営業実績向上のため、広告会社と契約して、グーグルマップのホームページ上に、塾の宣伝広告を掲載した。
３　塾の宣伝広告のために掲載したにもかかわらず、最近になって、塾を誹謗中傷する内容が掲載されるなどの営業妨害を受けている。
４　ホームページ上から、塾の誹謗中傷の内容削除と受けている営業妨害を取り除くためには、どうすれば良いか教えて下さい。",,"１　塾で契約した会社等を介して、グーグルに対し、ホームページ上から誹謗中傷を削除してもらうための依頼をすること。
２　塾を誹謗中傷されている事実を明らかにするため、誹謗中傷されている内容等を証拠化し、管轄する警察署に被害届を提出するよう教示した。",,,,,,
,162,1,,,教材が違法コピィーされている,"自社で販売している新人研修用教材が違法コピィーされているとの通報が当社にあった。

外部の通報者によると他社の研修に参加した時に、当社の教材がコピィーされ使用されているとのことでした。
当社の販売中教材には、著作権に関する使用許諾についての明確な記載があり、コピィーによる流用は認めていません。
尚、通報者より違法使用状況の携帯写真が提供されいます。

当社の対応について相談できる窓口を教えてください。",,違法状況の整理を行い所轄への被害届の相談を勧めた。,,,,,,
,163,4,,,サイバーセキュリティに関する講演を依頼したい。,"１　当組合員数は、約１７０名在籍している。　
２　組合員に対し、年１回研修を開催しているが、最近サイバーセキュリティに関する被害等が発生しているとの報道により、当組合員がサイバーセキュリティに関心を持ち、被害防止を図ってもらいたいと考えている。
３　今年の研修は、７月２０日金曜日、午後２～５時の間、秋葉原ＵＤＸにおいて開催を予定しているので、その際サイバーセキュリティ関係の講演をして頂きたいので、ご検討をお願い致します。",,警視庁サイバーセキュリティ対策本部に講演をしたい。,警視庁サイバーセキュリティ対策本部に対し、講演要請済。,,,,,
,164,1,,,不審アプリをダウンロードした結果、ウイルス感染し、クレジット番号を入力してしまったが、今後ウイルス感染しないための対処策等を教えて下さい。,"１　会社で使用しているパソコンに送信されてきた不審アプリをダウンロードし、ウイルス感染してしまった。
２　内容を確認していくと、セキュリティサポートに必要な費用として、７千円を支払うよう指示であったことから、その指示に従い、クレジットカード番号を入力してしまった。
３　入力直後、不正請求ではないかと思い、クレジットカード会社に対し、クレジットカードの解約及び再発行の手続きをおこなった。
４　現時点では、解約前に使用していたクレジットカードから現金７千円を引き落とされた否かの回答等はない。
５　今後、ウイルス感染しないための防御策等を教えて下さい。",,"１　ウイルス感染防止策としては、不審メールや不審アプリを絶対開かないこと。
２　仮に開いた場合、クレジットカード番号等入力したり、金銭支払いに絶対応じないこと。
３　仮に金銭を搾取された場合は、管轄警察署に相談すること等を教示した。",,,,,,
,165,1,,,"なりすましECサイト被害
ECサイトで注文したが、注文受付の返信がこない。連絡先に電話しても繋がらない。偽サイトでメールアドレス、パスワードを搾取された可能性がある。","このような内容はどこへ相談したらいいか？

注文受付のメールが届かないので、銀行振り込みはしていない。

このサイトにはGmailアドレスをIDとし、使いまわしのパスワードを使ってユーザ登録をした。

商用サイトで、同じパスワードを使っていたサイトのパスワードはすべて変更した。

電話中に、サイトから注文受付のメールが届いたが、中国人の名前だった。

ECサイトは、株式会社クレーバヘッズ　サイト名はACIDMALL",,"●このような内容はどこへ相談したらいいか？
注文受付のメールが届かないので、銀行振り込みはしていないとのことであるが、偽ECサイトでの個人情報搾取の疑いがあり、他にも同一事例の相談の可能性があるので、また他の利用者も同様の被害に遭わないように、消費者センター及びIPAセキュリティセンターに相談することをお勧めする。

●他の商用サイトでのパスワードを変更したことは適切。
同じパスワードを使いまわさないように、セキュリティ関連機関から強く要請されている。なりすまされて、注文、投稿などされる可能性があるので、無償のサイト、メールアカウント、SNSにおいても、同じパスワードを使っていた場合は、併せて変更するように。

●偽サイトの可能性が高い
電話中に届いたメールの内容によると、正規の会社のサイトの偽サイトの可能性が高く、ここ数日で偽サイト情報として挙がっている。
速やかに、消費者センター、IPAに連絡するように。",,,,,,
,166,1,,,中国からドメイン名取得に関するメールが来た。,"中国のドメイ登録サービス会社を名乗り当社のドメイ名が中国内のドメイ名と競合している。
対応について返信メールを要望する文面であった。
当メールについて返信するべきか相談したい。",,"中国から送られるドメイ取得メール詐欺と文面で一致している。
当該メールは詐欺メールと判定し無視するよう回答。
今後、詐欺メールが送られる可能性が高いので、メール開封に注意するように要請した。",,,,,,
,167,2,,,社内のセキュリティレベルを向上したい,"自社のセキュリティ担当をしている。
他にもセキュリティ担当が複数いるが、レベルがまちまちである。
経営陣への説明もしたい。
セミナーや参考図書等、いい手段があれば教えてほしい。",,警視庁で、希望者の相談に応じて社内セミナーを行っていること及び、東京都では「中小企業向けサイバー施セキュリティの極意」を追加配布していることを説明したところ、自社に帰って対応を検討する旨答えた。,,,,,,
,168,1,,,偽りＥＣサイト（なりすましＥＣサイト）への対応相談,"ＥＣサイトのネット通販をおこなっています。
当社のサイトを違法コピィーした偽りＥＣサイトが増えています。
当社サイトで通販利用に注意喚呼をしていますが、偽りサイトへの対策について実施できる有効な対応策があればを教えてください。",,通販ネットＥＣサイトの具体的な対応策について、「なりすましＥＣサイト対策協議会」の窓口を紹介した。,「サイバーセキュリティ対策の極意」の活用を案内した。,,,,,
,169,2,,,ビジネスチャンスナビに登録したら、スパムメールが来るようになった,"個人でＩＴ関連事業をしている。
昨年の春ころ、東京都のビジネスチャンスナビに登録した。
その際、仕事用のメールアドレスと、自宅用のメールアドレスを両方登録した。
一か月後くらいから、両方のメールアドレスにフィッシングメールが来るようになった。
ビジネスチャンスナビの登録者情報が漏れたのではないかと心配している。
万が一、情報が漏れている場合は、自分のアドレスはもうどうしようもないことがわかっているが、ほかの人が被害に遭わないよう対応できないか。",,"スパムメールとビジネスチャンスナビへの登録の間の因果関係を証明するのは難しい事を説明。
とはいえ、ビジネスチャンスナビは都で運営しているサービスなので、情報漏えいの可能性があることを共有しておく旨伝えた。",ビジネスチャンスナビ事務局に連絡済み。,,,,,
